"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cdc42",8.19124347741623e-43,1.07856855900829,0.994,0.923,2.64454295668383e-38
"Rab1a",9.72288796201234e-43,1.31681895328834,0.984,0.834,3.13903437853568e-38
"Dner",9.72565262105292e-43,2.10605788468666,0.897,0.519,3.13992694870693e-38
"Chd3",1.01991334118583e-42,1.41597078190763,0.959,0.762,3.29279022201844e-38
"Chga",1.043698440213e-42,1.67532018914111,0.947,0.663,3.36958041422766e-38
"Snca",1.3720171748986e-42,1.41213702814301,0.969,0.818,4.42955744916013e-38
"Rpl13a",1.61081087696411e-42,0.676750409599491,1,1,5.20050291627864e-38
"Pkm",1.64481472164701e-42,0.989590199761701,1,0.989,5.31028432883738e-38
"Rpl15",1.68323753524231e-42,0.85721060051854,1,0.989,5.4343323825298e-38
"Uqcr11",1.91508156172271e-42,0.923046644499687,1,0.983,6.18284082202177e-38
"Kcnab2",2.03632454563905e-42,1.71543235241804,0.925,0.657,6.57427379559566e-38
"Mapre3",2.4644530228182e-42,1.37129607108959,0.962,0.807,7.95648658416856e-38
"Psd3",2.94407484729835e-42,1.61941974543082,0.931,0.68,9.50494564450273e-38
"Atp5g3",3.30654495312551e-42,1.00420843525746,0.997,0.945,1.06751803811657e-37
"Mapk8ip2",3.51917882404376e-42,1.36392766347279,0.975,0.762,1.13616688334253e-37
"Ube2v1",3.89106502161786e-42,1.27605490744745,0.978,0.812,1.25623034222933e-37
"Rheb",3.93598594595573e-42,1.3958242472652,0.962,0.79,1.27073306265181e-37
"Habp4",6.40409039099907e-42,1.59161804635174,0.944,0.669,2.06756058273405e-37
"Kcnf1",6.45280647065704e-42,2.64186489195563,0.812,0.293,2.08328856905162e-37
"Rps27a",6.72452608458641e-42,0.742635610560544,1,1,2.17101324640872e-37
"Mpc2",8.10469875046251e-42,1.26957340009671,0.991,0.867,2.61660199158682e-37
